Episode,Reward,Steps,Success,Collisions
849,344.44,93,0,0
850,345.79,81,0,0
851,345.11,86,0,0
852,346.24,80,0,0
853,346.12,68,0,0
854,346.57,61,0,0
855,348.18,73,0,0
856,347.58,58,0,0
857,346.08,137,0,0
858,345.23,72,0,0
859,344.87,105,0,0
860,347.04,76,0,0
861,346.39,64,0,0
862,346.16,67,0,0
863,347.06,57,0,0
864,348.31,51,0,0
865,345.63,69,0,0
866,345.11,122,0,0
867,346.53,64,0,0
868,344.8,111,0,0
869,346.04,52,0,0
870,345.31,134,0,0
871,347.25,85,0,0
872,344.43,100,0,0
873,343.4,134,0,0
874,344.56,104,0,0
875,343.9,88,0,0
876,345.88,92,0,0
877,344.44,176,0,0
878,347.78,48,0,0
879,346.42,95,0,0
880,344.71,106,0,0
881,344.9,87,0,0
882,347.28,50,0,0
883,345.88,90,0,0
884,346.48,91,0,0
885,347.3,69,0,0
886,346.74,72,0,0
887,345.23,54,0,0
888,346.13,58,0,0
889,346.28,56,0,0
890,346.27,106,0,0
891,345.49,82,0,0
892,344.83,88,0,0
893,346.06,63,0,0
894,343.8,86,0,0
895,344.89,100,0,0
896,345.6,110,0,0
897,346.94,62,0,0
898,346.25,70,0,0
899,347.36,65,0,0
900,345.75,88,0,0
901,343.22,146,0,0
902,344.53,126,0,0
903,346.56,60,0,0
904,345.7,105,0,0
905,345.32,113,0,0
906,346.52,68,0,0
907,346.41,68,0,0
908,345.87,81,0,0
909,344.87,108,0,0
910,344.9,86,0,0
911,345.36,85,0,0
912,345.54,99,0,0
913,347.53,66,0,0
914,347.63,63,0,0
915,346.97,55,0,0
916,347.34,70,0,0
917,345.71,83,0,0
918,346.38,67,0,0
919,346.88,55,0,0
920,346.26,55,0,0
921,345.46,104,0,0
922,346.12,66,0,0
923,344.6,105,0,0
924,345.99,65,0,0
925,345.78,94,0,0
926,344.96,84,0,0
927,346.05,76,0,0
928,342.73,172,0,0
929,345.57,88,0,0
930,345.73,81,0,0
931,345.33,89,0,0
932,346.04,62,0,0
933,346.78,90,0,0
934,344.35,125,0,0
935,345.68,90,0,0
936,347.1,56,0,0
937,346.77,66,0,0
938,345.8,94,0,0
939,344.23,138,0,0
940,345.39,69,0,0
941,345.09,124,0,0
942,346.48,74,0,0
943,347.46,61,0,0
944,346.32,72,0,0
945,347.58,56,0,0
946,344.53,85,0,0
947,347.31,60,0,0
948,346.43,60,0,0
949,345.69,99,0,0
950,345.9,100,0,0
951,346.45,54,0,0
952,346.42,78,0,0
953,344.07,89,0,0
954,344.22,92,0,0
955,346.6,52,0,0
956,344.79,92,0,0
957,342.58,192,0,0
958,347.23,53,0,0
959,346.33,53,0,0
960,347.05,115,0,0
961,346.27,99,0,0
962,347.01,56,0,0
963,341.17,212,0,0
964,345.6,95,0,0
965,344.02,78,0,0
966,346.07,122,0,0
967,346.63,77,0,0
968,347.81,46,0,0
969,345.27,97,0,0
970,347.77,48,0,0
971,345.57,71,0,0
972,345.02,68,0,0
973,346.28,61,0,0
974,346.45,69,0,0
975,345.72,78,0,0
976,346.68,86,0,0
977,345.92,84,0,0
978,346.28,63,0,0
979,346.34,60,0,0
980,347.67,77,0,0
981,344.67,95,0,0
982,347.71,59,0,0
983,346.7,48,0,0
984,347.18,48,0,0
985,346.88,64,0,0
986,345.24,68,0,0
987,346.95,53,0,0
988,347.04,52,0,0
989,346.64,63,0,0
990,345.47,73,0,0
991,347.23,72,0,0
992,346.62,66,0,0
993,343.93,128,0,0
994,345.79,79,0,0
995,346.8,59,0,0
996,342.88,134,0,0
997,345.5,53,0,0
998,346.99,46,0,0
999,347.16,66,0,0
1000,346.49,58,0,0
1001,347.92,71,0,0
1002,344.5,115,0,0
1003,347.32,44,0,0
1004,343.81,107,0,0
1005,346.08,78,0,0
1006,346.81,70,0,0
1007,343.55,127,0,0
1008,345.82,75,0,0
1009,344.33,116,0,0
1010,346.0,91,0,0
1011,346.55,60,0,0
1012,347.11,75,0,0
1013,346.18,64,0,0
1014,346.19,62,0,0
1015,345.42,102,0,0
1016,346.68,57,0,0
1017,347.14,76,0,0
1018,345.09,79,0,0
1019,347.01,60,0,0
1020,345.06,74,0,0
1021,345.71,102,0,0
1022,347.1,47,0,0
1023,345.48,81,0,0
1024,346.4,72,0,0
1025,343.52,115,0,0
1026,345.29,95,0,0
1027,346.17,108,0,0
1028,346.15,56,0,0
1029,346.29,62,0,0
1030,343.55,108,0,0
1031,345.55,79,0,0
1032,345.73,107,0,0
1033,346.86,44,0,0
1034,346.03,52,0,0
1035,344.43,99,0,0
1036,345.53,52,0,0
1037,348.05,59,0,0
1038,345.19,65,0,0
1039,343.01,105,0,0
1040,346.65,82,0,0
1041,346.62,58,0,0
1042,345.98,65,0,0
1043,345.24,62,0,0
1044,347.5,62,0,0
1045,345.25,80,0,0
1046,346.85,62,0,0
1047,344.95,108,0,0
1048,346.01,83,0,0
1049,345.3,76,0,0
1050,347.36,68,0,0
1051,346.36,52,0,0
1052,343.44,98,0,0
1053,344.96,84,0,0
1054,345.77,86,0,0
1055,344.66,99,0,0
1056,346.64,74,0,0
1057,346.42,69,0,0
1058,347.19,54,0,0
1059,346.67,60,0,0
1060,345.66,73,0,0
1061,346.16,73,0,0
1062,346.5,75,0,0
1063,345.15,95,0,0
1064,345.28,90,0,0
1065,345.68,83,0,0
1066,345.82,86,0,0
1067,346.55,78,0,0
1068,344.53,113,0,0
1069,347.69,63,0,0
1070,347.55,48,0,0
1071,345.42,103,0,0
1072,346.66,40,0,0
1073,344.25,89,0,0
1074,345.63,73,0,0
1075,345.5,104,0,0
1076,346.73,42,0,0
1077,345.8,66,0,0
1078,347.7,64,0,0
1079,345.79,70,0,0
1080,346.19,59,0,0
1081,346.02,71,0,0
1082,344.57,71,0,0
1083,346.19,71,0,0
1084,346.24,52,0,0
1085,346.14,53,0,0
1086,346.22,72,0,0
1087,346.5,59,0,0
1088,346.61,55,0,0
1089,344.79,86,0,0
1090,346.65,70,0,0
1091,344.08,80,0,0
1092,345.69,72,0,0
1093,346.94,78,0,0
1094,347.0,70,0,0
1095,344.82,104,0,0
1096,347.38,44,0,0
1097,345.75,62,0,0
1098,345.22,79,0,0
1099,346.52,48,0,0
1100,344.8,85,0,0
1101,345.92,80,0,0
1102,345.58,115,0,0
1103,344.62,92,0,0
1104,347.25,78,0,0
1105,346.21,79,0,0
1106,345.79,64,0,0
1107,346.83,70,0,0
1108,346.11,68,0,0
1109,346.27,60,0,0
1110,346.95,53,0,0
1111,343.84,95,0,0
1112,346.49,70,0,0
1113,344.6,99,0,0
1114,346.01,56,0,0
1115,346.8,57,0,0
1116,346.63,73,0,0
1117,346.17,66,0,0
1118,343.91,90,0,0
1119,346.07,62,0,0
1120,346.99,75,0,0
1121,347.17,53,0,0
1122,345.2,82,0,0
1123,347.4,70,0,0
1124,345.68,67,0,0
1125,346.26,79,0,0
1126,347.24,56,0,0
1127,346.65,82,0,0
1128,347.64,42,0,0
1129,343.95,111,0,0
1130,346.51,69,0,0
1131,346.97,51,0,0
1132,347.28,93,0,0
1133,344.46,94,0,0
1134,346.25,79,0,0
1135,345.85,65,0,0
1136,346.79,87,0,0
1137,347.23,48,0,0
1138,345.58,100,0,0
1139,341.68,140,0,0
1140,345.7,81,0,0
1141,346.65,46,0,0
1142,347.37,79,0,0
1143,346.39,76,0,0
